Freq_Hz,Freq_GHz,S21_dB,S11_dB
3560220441,3.5602,-28.2792,-0.0065
3568216433,3.5682,-28.3400,-0.0064
3576212425,3.5762,-28.4007,-0.0063
3584208417,3.5842,-28.4612,-0.0062
3592204409,3.5922,-28.5216,-0.0061
3600200401,3.6002,-28.5818,-0.0060
3608196393,3.6082,-28.6419,-0.0059
3616192385,3.6162,-28.7018,-0.0059
3624188377,3.6242,-28.7616,-0.0058
3632184369,3.6322,-28.8213,-0.0057
3640180361,3.6402,-28.8808,-0.0056
3648176353,3.6482,-28.9402,-0.0055
3656172345,3.6562,-28.9994,-0.0055
3664168337,3.6642,-29.0585,-0.0054
3672164329,3.6722,-29.1175,-0.0053
3680160321,3.6802,-29.1763,-0.0053
3688156313,3.6882,-29.2350,-0.0052
3696152305,3.6962,-29.2936,-0.0051
3704148297,3.7041,-29.3520,-0.0050
3712144289,3.7121,-29.4103,-0.0050
3720140281,3.7201,-29.4684,-0.0049
3728136273,3.7281,-29.5264,-0.0048
3736132265,3.7361,-29.5843,-0.0048
3744128257,3.7441,-29.6421,-0.0047
3752124248,3.7521,-29.6997,-0.0047
3760120240,3.7601,-29.7572,-0.0046
3768116232,3.7681,-29.8145,-0.0045
3776112224,3.7761,-29.8718,-0.0045
3784108216,3.7841,-29.9289,-0.0044
3792104208,3.7921,-29.9858,-0.0044
3800100200,3.8001,-30.0427,-0.0043
3808096192,3.8081,-30.0994,-0.0042
3816092184,3.8161,-30.1560,-0.0042
3824088176,3.8241,-30.2124,-0.0041
3832084168,3.8321,-30.2687,-0.0041
3840080160,3.8401,-30.3250,-0.0040
3848076152,3.8481,-30.3810,-0.0040
3856072144,3.8561,-30.4370,-0.0039
3864068136,3.8641,-30.4928,-0.0039
3872064128,3.8721,-30.5485,-0.0038
3880060120,3.8801,-30.6041,-0.0038
3888056112,3.8881,-30.6596,-0.0037
3896052104,3.8961,-30.7149,-0.0037
3904048096,3.9040,-30.7702,-0.0036
3912044088,3.9120,-30.8253,-0.0036
3920040080,3.9200,-30.8803,-0.0035
3928036072,3.9280,-30.9351,-0.0035
3936032064,3.9360,-30.9899,-0.0035
3944028056,3.9440,-31.0445,-0.0034
3952024048,3.9520,-31.0990,-0.0034
3960020040,3.9600,-31.1534,-0.0033
3968016032,3.9680,-31.2077,-0.0033
3976012024,3.9760,-31.2618,-0.0032
3984008016,3.9840,-31.3159,-0.0032
3992004008,3.9920,-31.3698,-0.0032
4000000000,4.0000,-31.4236,-0.0031
