Freq_Hz,Freq_GHz,S21_N3_dB,S21_N4_dB,S21_N5_dB,S21_N6_dB
1244144144,1.2441,-1.3586,-5.3605,-8.1455,-14.9983
1248138138,1.2481,-1.3955,-5.4588,-8.3434,-15.2362
1252132132,1.2521,-1.4328,-5.5574,-8.5411,-15.4727
1256126126,1.2561,-1.4707,-5.6563,-8.7386,-15.7076
1260120120,1.2601,-1.5092,-5.7556,-8.9358,-15.9411
1264114114,1.2641,-1.5482,-5.8551,-9.1326,-16.1731
1268108108,1.2681,-1.5877,-5.9549,-9.3289,-16.4037
1272102102,1.2721,-1.6277,-6.0550,-9.5249,-16.6328
1276096096,1.2761,-1.6683,-6.1552,-9.7203,-16.8605
1280090090,1.2801,-1.7094,-6.2558,-9.9153,-17.0868
1284084084,1.2841,-1.7509,-6.3565,-10.1097,-17.3117
1288078078,1.2881,-1.7931,-6.4574,-10.3035,-17.5353
1292072072,1.2921,-1.8357,-6.5585,-10.4966,-17.7575
1296066066,1.2961,-1.8788,-6.6597,-10.6892,-17.9783
1300060060,1.3001,-1.9224,-6.7611,-10.8811,-18.1979
1304054054,1.3041,-1.9665,-6.8626,-11.0723,-18.4161
1308048048,1.3080,-2.0111,-6.9643,-11.2628,-18.6330
1312042042,1.3120,-2.0562,-7.0660,-11.4526,-18.8487
1316036036,1.3160,-2.1017,-7.1679,-11.6416,-19.0630
1320030030,1.3200,-2.1477,-7.2698,-11.8300,-19.2762
1324024024,1.3240,-2.1942,-7.3718,-12.0175,-19.4881
1328018018,1.3280,-2.2412,-7.4738,-12.2043,-19.6988
1332012012,1.3320,-2.2886,-7.5759,-12.3903,-19.9083
1336006006,1.3360,-2.3364,-7.6780,-12.5756,-20.1166
1340000000,1.3400,-2.3847,-7.7802,-12.7600,-20.3237
1343993994,1.3440,-2.4334,-7.8823,-12.9436,-20.5297
1347987988,1.3480,-2.4826,-7.9845,-13.1265,-20.7346
1351981982,1.3520,-2.5322,-8.0866,-13.3085,-20.9383
1355975976,1.3560,-2.5822,-8.1887,-13.4898,-21.1409
1359969970,1.3600,-2.6326,-8.2908,-13.6702,-21.3424
1363963964,1.3640,-2.6834,-8.3929,-13.8498,-21.5428
1367957958,1.3680,-2.7346,-8.4949,-14.0286,-21.7422
1371951952,1.3720,-2.7862,-8.5969,-14.2066,-21.9405
1375945946,1.3759,-2.8381,-8.6988,-14.3838,-22.1377
1379939940,1.3799,-2.8905,-8.8007,-14.5601,-22.3339
1383933934,1.3839,-2.9432,-8.9024,-14.7357,-22.5291
1387927928,1.3879,-2.9963,-9.0041,-14.9104,-22.7233
1391921922,1.3919,-3.0497,-9.1057,-15.0843,-22.9165
1395915916,1.3959,-3.1035,-9.2072,-15.2575,-23.1087
1399909910,1.3999,-3.1576,-9.3086,-15.4298,-23.3000
1403903904,1.4039,-3.2121,-9.4099,-15.6013,-23.4903
